frame_num,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
37,3,670.826285709456 1483.0550654111148 1391.7802205278572 2135.164323486565,903.099609375 1902.1248779296875 1156.3721923828125 2005.6160888671875,0.5602672696113586,NA13NRU,0.18664119084421218
38,3,669.2003576415225 1488.6217591579907 1392.4475673559111 2139.0663294864626,924.1004638671875 1911.2764892578125 1148.2674560546875 2009.4305419921875,0.6396980285644531,NA13NRU,0.18115277057034973
39,3,668.8435310435492 1492.7328219400356 1392.8989011247086 2142.8043155299197,912.2088928222656 1917.5770874023438 1140.9365844726562 2014.5945434570312,0,0,0
40,3,668.4867044455759 1496.8438847220807 1393.3502348935062 2146.542301573377,900.3173217773438 1923.877685546875 1133.605712890625 2019.758544921875,0.6199131608009338,NA13NRU,0.31105867026595957
41,3,664.4365635541147 1502.561505201456 1390.3998419441355 2148.8757420251604,891.3223571777344 1925.72705078125 1142.8885498046875 2029.8365478515625,0,0,0
42,3,660.3864226626536 1508.2791256808314 1387.4494489947645 2151.209182476944,882.327392578125 1927.576416015625 1152.17138671875 2039.91455078125,0.6096550822257996,NA13NRU,0.45974755023889335
43,3,658.18142016053 1511.1971258681788 1386.0699109719321 2151.282149069759,882.4586791992188 1927.748291015625 1152.061767578125 2039.771484375,0.6099718809127808,NA13NRU,0.45974755023889335
44,3,656.5110849817443 1511.97774126885 1384.8639064224328 2151.181357359474,877.4298095703125 1923.5225830078125 1135.0655517578125 2037.6068115234375,0.6376197934150696,NA13MRU,0.5144889613989113
45,3,654.8167099880693 1515.5608351126289 1384.724767040588 2153.0973073548116,895.34033203125 1934.03515625 1150.44580078125 2043.95458984375,0.6197764873504639,NA13NRU,0.1972177698480139
46,3,652.6581546241453 1517.9004204162904 1382.983682566661 2152.6062476140796,904.351318359375 1940.736328125 1140.9927978515625 2045.44482421875,0.6530437469482422,NA13MRU,0.37765128969075096
47,3,650.7495969188749 1518.8215756069026 1382.460923928958 2151.1720984765693,882.0917358398438 1945.1195068359375 1147.53466796875 2060.54345703125,0.628783643245697,NA13MRU,0.33702548369893925
48,3,650.1773306600498 1522.1649941663097 1381.9807244825188 2151.5658304690364,879.4369812011719 1951.4401550292969 1143.0397338867188 2063.7527465820312,0,0,0
49,3,649.6050644012248 1525.5084127257169 1381.5005250360796 2151.959562461503,876.7822265625 1957.7608032226562 1138.5447998046875 2066.9620361328125,0,0,0
50,3,649.0327981423999 1528.8518312851238 1381.0203255896404 2152.35329445397,874.1274719238281 1964.0814514160156 1134.0498657226562 2070.1713256835938,0,0,0
51,3,648.4605318835748 1532.195249844531 1380.5401261432012 2152.7470264464373,871.4727172851562 1970.402099609375 1129.554931640625 2073.380615234375,0.6438186168670654,NA13NPU,0.2054795740285128
52,3,645.7620752367861 1536.429826000198 1379.963001010721 2153.2775514420273,885.2010498046875 1974.879150390625 1138.8665771484375 2084.530029296875,0.5998729467391968,NA13NRU,0.7488696628884816
53,3,645.9770788944669 1539.6492135938859 1381.364062306326 2152.517398620578,870.71337890625 1973.669677734375 1120.692626953125 2083.424560546875,0.6485663652420044,NA13NPU,0.28554970964060755
54,3,639.6811750923273 1544.0459576368112 1379.8754788172344 2152.5055276041085,860.2695922851562 1977.109130859375 1127.8582763671875 2091.520751953125,0.6704831719398499,NA13MRU,0.22644485567647127
55,3,637.6315078207151 1546.4415013376956 1380.5109408491376 2151.7381793013546,860.3241577148438 1977.196533203125 1127.708984375 2091.403076171875,0.6697279810905457,NA13MRU,0.22644485567647127
56,3,635.0813105153005 1550.3858891576513 1377.998269943529 2151.9906204160657,861.1121826171875 1983.4968668619792 1125.0227864583333 2096.1512044270835,0,0,0
57,3,632.531113209886 1554.330276977607 1375.4855990379208 2152.2430615307767,861.9002075195312 1989.7972005208333 1122.3365885416667 2100.8993326822915,0,0,0
58,3,629.9809159044714 1558.2746647975625 1372.9729281323123 2152.4955026454877,862.688232421875 1996.0975341796875 1119.650390625 2105.6474609375,0.6561893820762634,NA13NRU,0.6209711654230335
59,3,631.4077185082162 1561.8957035428439 1372.9469692283153 2152.426113939574,874.118408203125 2006.9489135742188 1107.3081665039062 2111.881103515625,0,0,0
60,3,632.8345211119611 1565.516742288125 1372.9210103243183 2152.3567252336597,885.548583984375 2017.80029296875 1094.9659423828125 2118.11474609375,0.6714747548103333,NA13NRU,0.4201098766710823
61,3,633.5503854709539 1566.9400475607608 1372.175086234782 2151.5055210728683,885.2470703125 2017.694580078125 1095.1405029296875 2118.353515625,0.6713845133781433,NA13NRU,0.37081957437157614
62,3,632.8240050927778 1571.8589550446648 1370.9349298955594 2151.669839507414,869.5330607096354 2021.2818196614583 1099.963623046875 2124.3289388020835,0,0,0
63,3,632.0976247146019 1576.7778625285684 1369.6947735563367 2151.8341579419603,853.8190511067709 2024.8690592447917 1104.7867431640625 2130.3043619791665,0,0,0
64,3,631.3712443364259 1581.6967700124724 1368.4546172171142 2151.998476376506,838.1050415039062 2028.456298828125 1109.60986328125 2136.27978515625,0.6662853956222534,NA13NRU,0.45556553429414764
65,3,624.1528539936767 1586.468198999623 1364.5601774447357 2151.565363083581,844.179443359375 2030.8436279296875 1109.3592529296875 2138.85693359375,0.6438287496566772,NA13NRU,0.4565050221383725
1,5,2197.3992701546013 1154.2835435957104 2785.5587234171753 1736.5470030710435,2407.91455078125 1551.371337890625 2576.935546875 1638.369873046875,0.5950815081596375,MU51KSU,0.12425746087702963
2,5,2201.1788933623575 1163.4533141871298 2783.9078446580797 1740.852106515461,2411.8359375 1549.122802734375 2583.56640625 1641.93603515625,0.5861988067626953,HV51VSU,0.20408029170235567
3,5,2198.9393968360587 1167.4912575876115 2784.452961671992 1746.2890627314328,2411.28564453125 1556.0189208984375 2584.368408203125 1647.5648803710938,0,0,0
4,5,2196.69990030976 1171.529200988093 2784.998078685904 1751.7260189474043,2410.7353515625 1562.9150390625 2585.17041015625 1653.1937255859375,0.42640000581741333,HU51KSU,0.2126183383595926
5,5,2194.0966233408444 1174.1966887703206 2789.763901228718 1755.626018477048,2411.28271484375 1562.439453125 2586.2568359375 1652.39111328125,0.49761343002319336,HU51VSU,0.41064862763462867
6,5,2192.4421429423573 1175.0549169397418 2789.6582301164703 1757.761950752993,2412.9087727864585 1566.72509765625 2586.7555338541665 1652.7701822916667,0,0,0
7,5,2190.7876625438703 1175.913145109163 2789.552559004222 1759.897883028938,2414.5348307291665 1571.0107421875 2587.2542317708335 1653.1492513020833,0,0,0
8,5,2189.133182145383 1176.7713732785842 2789.4468878919743 1762.0338153048829,2416.160888671875 1575.29638671875 2587.7529296875 1653.5283203125,0.5656305551528931,MO51YSU,0.08182164199321174
9,5,2190.6487143601744 1175.7444613033815 2792.2374711228613 1764.4548820979392,2414.810546875 1579.6453857421875 2589.49755859375 1661.1383056640625,0.5821932554244995,KT53YSU,0.058135670246413675
10,5,2191.090401342489 1174.2974655694568 2796.6150812036894 1766.4280393039426,2415.58447265625 1581.7588195800781 2589.872314453125 1664.2658996582031,0,0,0
11,5,2191.532088324803 1172.8504698355318 2800.9926912845176 1768.4011965099457,2416.3583984375 1583.8722534179688 2590.2470703125 1667.3934936523438,0,0,0
12,5,2191.973775307118 1171.4034741016071 2805.370301365346 1770.3743537159492,2417.13232421875 1585.9856872558594 2590.621826171875 1670.5210876464844,0,0,0
13,5,2192.4154622894325 1169.9564783676824 2809.7479114461744 1772.3475109219526,2417.90625 1588.09912109375 2590.99658203125 1673.648681640625,0.6264284253120422,NO51YSU,0.05316768973840633
14,5,2193.621796077797 1176.172206822038 2814.818237241497 1777.3520863746937,2415.3896484375 1588.543212890625 2587.59912109375 1672.47802734375,0.6095019578933716,MV51VSU,0.17693575347818497
15,5,2194.0866217861226 1180.819790162401 2816.771576797939 1781.3519469283217,2416.82275390625 1590.4367980957031 2589.2462158203125 1676.8843688964844,0,0,0
16,5,2194.5514474944484 1185.4673735027636 2818.72491635438 1785.3518074819494,2418.255859375 1592.3303833007812 2590.893310546875 1681.2907104492188,0,0,0
17,5,2195.016273202774 1190.1149568431265 2820.678255910822 1789.3516680355774,2419.68896484375 1594.2239685058594 2592.5404052734375 1685.6970520019531,0,0,0
18,5,2195.4810989110993 1194.7625401834894 2822.6315954672637 1793.3515285892054,2421.1220703125 1596.1175537109375 2594.1875 1690.1033935546875,0.6309385299682617,ML51NSU,0.24583967352933936
19,5,2195.8236117000797 1195.7432916383705 2825.2583324312327 1795.107584716813,2421.060546875 1596.087158203125 2594.22021484375 1690.163818359375,0.6304643154144287,ML51NSU,0.24583967352933936
20,5,2198.0921914016544 1196.8976796374805 2825.7974384304653 1798.196887333907,2424.3701171875 1600.628173828125 2596.7275390625 1695.7078857421875,0.630373477935791,MV51VSU,0.4518813289837802
21,5,2196.531159711848 1177.5446888254328 2821.599956666264 1792.5382332113172,2421.150390625 1607.1339111328125 2597.2841796875 1701.6910400390625,0.6157814860343933,ML51YSV,0.05943275765558461
22,5,2195.7627743139574 1184.3708571585694 2818.9575675069286 1798.438267404585,2422.2578125 1611.174560546875 2596.9716796875 1701.58984375,0,0,0
23,5,2194.994388916067 1191.1970254917062 2816.315178347593 1804.3383015978527,2423.365234375 1615.2152099609375 2596.6591796875 1701.4886474609375,0,0,0
24,5,2194.226003518176 1198.0231938248428 2813.6727891882574 1810.2383357911206,2424.47265625 1619.255859375 2596.3466796875 1701.387451171875,0.5833210945129395,MI51VSU,0.13893087712144694
25,5,2194.5438350131985 1201.1428919521813 2813.4140990272163 1812.498094743174,2424.9920654296875 1622.85400390625 2597.564208984375 1704.8182373046875,0,0,0
26,5,2194.861666508221 1204.26259007952 2813.155408866175 1814.7578536952276,2425.511474609375 1626.4521484375 2598.78173828125 1708.2490234375,0.6131476759910583,MI51VSU,0.2676330744825289
27,5,2196.8174094013907 1208.2149395550603 2813.733767345096 1816.5295875995423,2421.14599609375 1626.3387451171875 2599.56689453125 1709.4569091796875,0.6093282699584961,MI51VSU,0.05928542627038191
28,5,2198.5212691173674 1210.908095713686 2815.2596979889995 1819.3277964453866,2423.65576171875 1631.1798706054688 2599.64208984375 1716.7278442382812,0,0,0
29,5,2200.2251288333437 1213.6012518723117 2816.7856286329034 1822.126005291231,2426.16552734375 1636.02099609375 2599.71728515625 1723.998779296875,0.668651282787323,IV51VSU,0.04874615917138297
30,5,2201.9430922393003 1219.3558965592506 2819.845577534571 1828.6652283337135,2426.8896484375 1637.1015625 2597.40576171875 1721.106201171875,0.6464848518371582,MI51WSU,0.07183109252179835
31,5,2202.011297715441 1222.1851566234807 2820.9454184489673 1833.1260646246344,2427.94306640625 1639.59345703125 2600.6818359375 1725.144140625,0,0,0
32,5,2202.079503191582 1225.0144166877108 2822.0452593633636 1837.5869009155551,2428.996484375 1642.0853515625 2603.95791015625 1729.182080078125,0,0,0
33,5,2202.1477086677223 1227.8436767519408 2823.14510027776 1842.047737206476,2430.04990234375 1644.57724609375 2607.233984375 1733.22001953125,0,0,0
34,5,2202.2159141438633 1230.672936816171 2824.244941192156 1846.5085734973968,2431.1033203125 1647.069140625 2610.51005859375 1737.257958984375,0,0,0
35,5,2202.284119620004 1233.502196880401 2825.3447821065524 1850.9694097883178,2432.15673828125 1649.56103515625 2613.7861328125 1741.2958984375,0.6336578130722046,AU51VSU,0.13684561971227122
36,5,2201.132752773397 1244.146864731209 2827.3099187206185 1858.4148011403413,2433.92236328125 1658.6444091796875 2615.29638671875 1748.3712158203125,0.6252005696296692,MO35YSU,0.03316864799761213
37,5,2199.651115930541 1248.4995427963947 2828.7627594494124 1860.6802292976934,2434.2177734375 1658.344482421875 2615.06005859375 1748.3514404296875,0.6250913143157959,MZ51VSU,0.04617694330760682
38,5,2201.4185503361377 1249.1482628823396 2833.0777235613677 1862.7587395410246,2434.61279296875 1662.6992797851562 2615.3530883789062 1749.990234375,0,0,0
39,5,2203.1859847417345 1249.7969829682843 2837.3926876733235 1864.8372497843557,2435.0078125 1667.0540771484375 2615.6461181640625 1751.6290283203125,0,0,0
40,5,2204.9534191473313 1250.4457030542292 2841.7076517852793 1866.915760027687,2435.40283203125 1671.4088745117188 2615.9391479492188 1753.267822265625,0,0,0
41,5,2206.720853552928 1251.094423140174 2846.0226158972346 1868.9942702710182,2435.7978515625 1675.763671875 2616.232177734375 1754.9066162109375,0.6111748218536377,MV51VSU,0.1734565269387654
42,5,2206.840925180368 1251.3955653262487 2848.437428662406 1871.628216433274,2435.3341471354165 1678.9281412760417 2615.0056966145835 1759.2652180989583,0,0,0
43,5,2206.960996807808 1251.6967075123234 2850.852241427578 1874.2621625955296,2434.8704427083335 1682.0926106770833 2613.7792154947915 1763.6238199869792,0,0,0
44,5,2207.0810684352477 1251.997849698398 2853.2670541927496 1876.8961087577854,2434.40673828125 1685.257080078125 2612.552734375 1767.982421875,0.6663970947265625,MI51VSU,0.10941998909545095
45,5,2207.473817034877 1255.3912885732748 2854.2297326079124 1880.8465511291329,2434.0923665364585 1689.1170247395833 2615.6168619791665 1773.6634928385417,0,0,0
46,5,2207.8665656345065 1258.7847274481517 2855.1924110230752 1884.79699350048,2433.7779947916665 1692.9769694010417 2618.6809895833335 1779.3445638020833,0,0,0
47,5,2208.2593142341357 1262.1781663230283 2856.155089438238 1888.7474358718275,2433.463623046875 1696.8369140625 2621.7451171875 1785.025634765625,0.665337085723877,MT51VSU,0.051893316306281356
48,5,2208.3048025594544 1263.1636356943886 2856.436327090048 1892.2760258232313,2435.110546875 1699.8817749023438 2622.5118896484373 1787.4767211914063,0,0,0
49,5,2208.3502908847727 1264.149105065749 2856.717564741858 1895.804615774635,2436.757470703125 1702.9266357421875 2623.278662109375 1789.9278076171875,0,0,0
50,5,2208.3957792100914 1265.1345744371092 2856.998802393668 1899.3332057260388,2438.40439453125 1705.9714965820312 2624.0454345703124 1792.3788940429688,0,0,0
51,5,2208.4412675354097 1266.1200438084695 2857.280040045478 1902.8617956774426,2440.051318359375 1709.016357421875 2624.81220703125 1794.82998046875,0,0,0
52,5,2208.4867558607284 1267.1055131798298 2857.561277697288 1906.3903856288466,2441.6982421875 1712.0612182617188 2625.5789794921875 1797.2810668945312,0,0,0
53,5,2208.532244186047 1268.0909825511903 2857.842515349098 1909.9189755802504,2443.345166015625 1715.1060791015625 2626.345751953125 1799.7321533203126,0,0,0
54,5,2208.5777325113654 1269.0764519225506 2858.123753000908 1913.4475655316542,2444.99208984375 1718.1509399414062 2627.1125244140626 1802.1832397460937,0,0,0
55,5,2208.623220836684 1270.061921293911 2858.404990652718 1916.976155483058,2446.639013671875 1721.19580078125 2627.879296875 1804.634326171875,0,0,0
56,5,2208.6687091620024 1271.0473906652712 2858.686228304528 1920.5047454344617,2448.2859375 1724.2406616210938 2628.6460693359377 1807.0854125976562,0,0,0
57,5,2208.714197487321 1272.0328600366315 2858.967465956338 1924.0333353858655,2449.932861328125 1727.2855224609375 2629.412841796875 1809.5364990234375,0.6549776792526245,MJ51VSU,0.05762394031765742
58,5,2209.3192300465953 1275.6359199226008 2860.121548423067 1928.0368774045521,2450.4037882486978 1730.7436218261719 2630.023681640625 1812.9815368652344,0,0,0
59,5,2209.92426260587 1279.23897980857 2861.275630889796 1932.0404194232387,2450.874715169271 1734.2017211914062 2630.634521484375 1816.4265747070312,0,0,0
60,5,2210.529295165144 1282.8420396945394 2862.429713356525 1936.0439614419254,2451.3456420898438 1737.6598205566406 2631.245361328125 1819.8716125488281,0,0,0
61,5,2211.134327724418 1286.4450995805087 2863.5837958232537 1940.047503460612,2451.8165690104165 1741.117919921875 2631.856201171875 1823.316650390625,0,0,0
62,5,2211.739360283693 1290.048159466478 2864.7378782899827 1944.0510454792986,2452.2874959309897 1744.5760192871094 2632.467041015625 1826.7616882324219,0,0,0
63,5,2212.344392842967 1293.6512193524472 2865.891960756712 1948.0545874979853,2452.7584228515625 1748.0341186523438 2633.077880859375 1830.2067260742188,0,0,0
64,5,2212.949425402241 1297.2542792384165 2867.046043223441 1952.058129516672,2453.2293497721353 1751.4922180175781 2633.688720703125 1833.6517639160156,0,0,0
65,5,2213.5544579615157 1300.8573391243858 2868.20012569017 1956.0616715353585,2453.7002766927085 1754.9503173828125 2634.299560546875 1837.0968017578125,0,0,0
66,5,2214.15949052079 1304.460399010355 2869.3542081568985 1960.0652135540452,2454.1712036132812 1758.4084167480469 2634.910400390625 1840.5418395996094,0,0,0
67,5,2214.764523080064 1308.0634588963244 2870.5082906236275 1964.0687555727318,2454.642130533854 1761.8665161132812 2635.521240234375 1843.9868774414062,0,0,0
68,5,2215.3695556393386 1311.6665187822937 2871.6623730903566 1968.0722975914184,2455.1130574544272 1765.3246154785156 2636.132080078125 1847.4319152832031,0,0,0
69,5,2215.9745881986128 1315.269578668263 2872.8164555570856 1972.075839610105,2455.583984375 1768.78271484375 2636.742919921875 1850.876953125,0.6109427213668823,MT51YSU,0.06412274707224876
70,5,2215.9977888854787 1318.0031619842312 2872.4731031843367 1976.910671474565,2455.7313639322915 1772.1422729492188 2638.4073486328125 1856.1143188476562,0,0,0
71,5,2216.0209895723447 1320.7367453001993 2872.1297508115877 1981.745503339025,2455.8787434895835 1775.5018310546875 2640.07177734375 1861.3516845703125,0,0,0
72,5,2216.0441902592106 1323.4703286161675 2871.7863984388387 1986.580335203485,2456.026123046875 1778.8613891601562 2641.7362060546875 1866.5890502929688,0,0,0
73,5,2216.0673909460766 1326.2039119321357 2871.4430460660897 1991.415167067945,2456.1735026041665 1782.220947265625 2643.400634765625 1871.826416015625,0,0,0
74,5,2216.0905916329425 1328.937495248104 2871.0996936933407 1996.2499989324049,2456.3208821614585 1785.5805053710938 2645.0650634765625 1877.0637817382812,0,0,0
75,5,2216.1137923198085 1331.671078564072 2870.7563413205917 2001.084830796865,2456.46826171875 1788.9400634765625 2646.7294921875 1882.3011474609375,0.6826964616775513,CW51TSU,0.018944838987644937
76,5,2216.2990350140462 1335.3906501285908 2873.25933502149 2005.1570478762628,2457.5344848632812 1793.1473236083984 2648.6338806152344 1885.3000946044922,0,0,0
77,5,2216.4842777082845 1339.1102216931095 2875.7623287223887 2009.2292649556607,2458.6007080078125 1797.3545837402344 2650.5382690429688 1888.2990417480469,0,0,0
78,5,2216.6695204025227 1342.8297932576281 2878.2653224232877 2013.3014820350586,2459.6669311523438 1801.5618438720703 2652.442657470703 1891.2979888916016,0,0,0
79,5,2216.8547630967605 1346.5493648221468 2880.768316124186 2017.3736991144565,2460.733154296875 1805.7691040039062 2654.3470458984375 1894.2969360351562,0,0,0
80,5,2217.0400057909983 1350.2689363866652 2883.2713098250847 2021.4459161938541,2461.7993774414062 1809.9763641357422 2656.251434326172 1897.295883178711,0,0,0
81,5,2217.2252484852365 1353.988507951184 2885.7743035259837 2025.518133273252,2462.8656005859375 1814.1836242675781 2658.1558227539062 1900.2948303222656,0,0,0
82,5,2217.410491179475 1357.7080795157026 2888.277297226882 2029.59035035265,2463.9318237304688 1818.390884399414 2660.0602111816406 1903.2937774658203,0,0,0
83,5,2217.5957338737126 1361.4276510802213 2890.7802909277807 2033.6625674320478,2464.998046875 1822.59814453125 2661.964599609375 1906.292724609375,0.6558355689048767,MT51VSU,0.09967194410854067
84,5,2218.1513221502523 1363.3180146719458 2893.6389953141897 2037.6600139053423,2465.8949381510415 1825.4124348958333 2663.0270182291665 1911.1631266276042,0,0,0
85,5,2218.7069104267916 1365.2083782636703 2896.497699700599 2041.6574603786369,2466.7918294270835 1828.2267252604167 2664.0894368489585 1916.0335286458333,0,0,0
86,5,2219.2624987033314 1367.0987418553946 2899.356404087008 2045.6549068519312,2467.688720703125 1831.041015625 2665.15185546875 1920.9039306640625,0,0,0
87,5,2219.818086979871 1368.989105447119 2902.215108473417 2049.6523533252257,2468.5856119791665 1833.8553059895833 2666.2142740885415 1925.7743326822917,0,0,0
88,5,2220.3736752564105 1370.8794690388436 2905.073812859826 2053.6497997985202,2469.4825032552085 1836.6695963541667 2667.2766927083335 1930.6447347005208,0,0,0
89,5,2220.9292635329502 1372.769832630568 2907.932517246235 2057.6472462718148,2470.37939453125 1839.48388671875 2668.339111328125 1935.51513671875,0.6661286950111389,IT51VSU,0.11460978895315262
90,5,2219.960655290276 1374.6769054795348 2908.464301929579 2061.5102052421908,2475.793701171875 1846.9149169921875 2668.923583984375 1937.1529541015625,0.6566109657287598,CT51VSU,0.12866038301854496
91,5,2219.2183304938158 1374.9055584692005 2908.9570627245007 2063.24262101583,2475.72607421875 1846.8966064453125 2668.93896484375 1937.1536865234375,0.656930148601532,CT51VSU,0.13984667745582027
92,5,2220.2001022307613 1378.4961472283585 2911.832608422643 2067.0254853007004,2476.0017700195312 1851.5749053955078 2669.5653686523438 1941.6074523925781,0,0,0
93,5,2221.181873967707 1382.0867359875165 2914.7081541207845 2070.808349585571,2476.2774658203125 1856.2532043457031 2670.1917724609375 1946.0612182617188,0,0,0
94,5,2222.1636457046525 1385.6773247466747 2917.583699818926 2074.591213870441,2476.5531616210938 1860.9315032958984 2670.8181762695312 1950.5149841308594,0,0,0
95,5,2223.145417441598 1389.2679135058327 2920.459245517068 2078.3740781553115,2476.828857421875 1865.6098022460938 2671.444580078125 1954.96875,0,0,0
96,5,2224.1271891785436 1392.8585022649906 2923.3347912152103 2082.1569424401823,2477.1045532226562 1870.288101196289 2672.0709838867188 1959.4225158691406,0,0,0
97,5,2225.108960915489 1396.4490910241489 2926.210336913352 2085.9398067250527,2477.3802490234375 1874.9664001464844 2672.6973876953125 1963.8762817382812,0,0,0
